,Name,Location,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Brand,New_Year
0,Maruti Wagon R LXI CNG,Mumbai,2682.68,2010,72000,CNG,Manual,First,26,998,58,5,Maruti,14
1,Hyundai Creta 1.6 CRDi SX Option,Pune,19162.0,2015,41000,Diesel,Manual,First,19,1582,126,5,Hyundai,9
2,Honda Jazz V,Chennai,6898.32,2011,46000,Petrol,Manual,First,18,1199,88,5,Honda,13
3,Maruti Ertiga VDI,Chennai,9197.76,2012,87000,Diesel,Manual,First,20,1248,88,7,Maruti,12
4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,27194.71,2013,40670,Diesel,Automatic,Second,15,1968,140,5,Audi,11
5,Hyundai EON LPG Era Plus Option,Hyderabad,3602.46,2012,75000,LPG,Manual,First,21,814,55,5,Hyundai,12
6,Nissan Micra Diesel XV,Jaipur,5365.36,2013,86999,Diesel,Manual,First,23,1461,63,5,Nissan,11
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,26826.8,2016,36000,Diesel,Automatic,First,11,2755,171,8,Toyota,8
8,Volkswagen Vento Diesel Comfortline,Pune,7971.39,2013,64430,Diesel,Manual,First,20,1598,103,5,Volkswagen,11
9,Tata Indica Vista Quadrajet LS,Chennai,2989.27,2012,65932,Diesel,Manual,Second,22,1248,74,5,Tata,12
10,Maruti Ciaz Zeta,Kochi,15252.95,2018,25692,Petrol,Manual,First,21,1462,103,5,Maruti,6
11,Honda City 1.5 V AT Sunroof,Kolkata,6882.99,2012,60000,Petrol,Automatic,First,16,1497,116,5,Honda,12
12,Maruti Swift VDI BSIV,Jaipur,8584.58,2015,64424,Diesel,Manual,First,25,1248,74,5,Maruti,9
13,Land Rover Range Rover 2.2L Pure,Delhi,41389.92,2014,72000,Diesel,Automatic,First,12,2179,187,5,Land,10
14,Land Rover Freelander 2 TD4 SE,Pune,26826.8,2012,85000,Diesel,Automatic,Second,17,2179,115,5,Land,12
15,Mitsubishi Pajero Sport 4X4,Delhi,22994.4,2014,110000,Diesel,Manual,First,13,2477,175,7,Mitsubishi,10
16,Honda Amaze S i-Dtech,Kochi,8277.98,2016,58950,Diesel,Manual,First,25,1498,98,5,Honda,8
17,Maruti Swift DDiS VDI,Jaipur,9182.43,2017,25000,Diesel,Manual,First,28,1248,74,5,Maruti,7
18,Renault Duster 85PS Diesel RxL Plus,Kochi,9718.97,2014,77469,Diesel,Manual,First,20,1461,83,5,Renault,10
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,42922.88,2014,78500,Diesel,Automatic,First,14,2143,167,5,Mercedes-Benz,10
20,BMW 3 Series 320d,Kochi,28436.41,2014,32982,Diesel,Automatic,First,22,1995,190,5,BMW,10
21,Maruti S Cross DDiS 200 Alpha,Bangalore,12646.92,2015,55392,Diesel,Manual,Second,23,1248,88,5,Maruti,9
22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,36024.56,2015,55985,Petrol,Automatic,First,13,1984,177,5,Audi,9
23,Hyundai i20 1.2 Magna,Kolkata,2866.64,2010,45807,Petrol,Manual,First,18,1197,80,5,Hyundai,14
24,Volkswagen Vento Petrol Highline AT,Kolkata,4368.94,2010,33000,Petrol,Automatic,First,14,1598,103,5,Volkswagen,14
25,Honda City Corporate Edition,Mumbai,6515.08,2012,51920,Petrol,Manual,First,16,1497,116,5,Honda,12
26,Nissan Micra Diesel XV,Hyderabad,6515.08,2012,54000,Diesel,Manual,First,23,1461,63,5,Nissan,12
27,Maruti Alto K10 2010-2014 VXI,Hyderabad,4215.64,2013,54000,Petrol,Manual,Second,20,998,67,5,Maruti,11
28,Honda WRV i-VTEC VX,Kochi,15176.3,2018,37430,Petrol,Manual,First,17,1199,88,5,Honda,6
29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,6131.84,2007,262000,Diesel,Manual,Fourth & Above,12,2494,102,7,Toyota,17
30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,11880.44,2013,62000,Diesel,Manual,First,19,1461,108,5,Renault,11
31,Toyota Corolla Altis G,Delhi,10347.48,2012,87615,Petrol,Manual,First,14,1798,138,5,Toyota,12
32,Mahindra Ssangyong Rexton RX7,Bangalore,19162.0,2013,72000,Diesel,Automatic,Second,11,2696,184,7,Mahindra,11
33,Audi A6 2.7 TDI,Kolkata,17629.04,2010,35000,Diesel,Automatic,First,12,2698,179,5,Audi,14
34,Volkswagen Vento 1.6 Highline,Coimbatore,10700.06,2014,55431,Petrol,Manual,Second,16,1598,103,5,Volkswagen,10
35,Maruti Wagon R LXI BSIII,Jaipur,2835.98,2009,83816,Petrol,Manual,Second,14,1061,64,5,Maruti,15
